#,,,,,
ספק ראשי,קוד פריט,תאור פריט,ספירה מעודכנת,תאור לועזי,עלות 
ALLIED,NHETA20-0010,"#250Y0H-20FM(RANGE9.5-11.0,B=111,d20*42)",2,"מקדח א. מא',ספיר',קנה ישר+קרור",482.74
ALLIED,NHETA20-0020,"#250Z0H-20FM(RANGE11.1-12.7,B111,d20*42)",2,"מקדח א. מא',ספיר',קנה ישר+קרור",456.6
ALLIED,NHGTA02-0050,"#26000H-002I (RANGE13.0-17.5,B=178,MT=2)",2,"מק' א.מאוד,ספיר',קנה קוני+קרור",333.28
ALLIED,NHGTA20-0050,"#26000H-20FM(RANGE13.0-17.5,B178,d20*42)",1,"מקדח א. מא',ספיר',קנה ישר+קרור",570.49
ALLIED,NHGTA02-0055,"#26000S-075L(RANGE13.0-17.5B178,D19.05",1,"מק' בינוני,,קנה ישר+קרור פנימי",484.02
ALLIED,NHGTA02-0060,"#26005H-002I (RANGE15.5-17.5,B=178,MT=2)",1,"מק' א.מאוד,ספיר',קנה קוני+קרור",526.94
ALLIED,NHGTA20-0060,"#26005H-20FM(RANGE15.5-17.5,B178,d20*42)",1,"מקדח א. מא',ספיר',קנה ישר+קרור",545.38
ALLIED,NHEXL20-0050,"#27000S-20FM(RANGE13.0-17.5,B295,d20*42)",2,"מקדח ארוך מאוד,תעול ישר,קנה ישר+קרור",521.05
ALLIED,NHEXL25-0050,"#27010S-25FM(RANGE18.0-24.0,B457,d25*51)",2,"מקדח ארוך מאוד,תעול ישר,קנה ישר+קרור",547.59
ALLIED,NHEXL32-0050,"#27020S-32FM(RANGE25.0-35.0,B511,d32*58)",1,"מקדח ארוך מאוד,תעול ישר,קנה ישר+קרור",647.03
ALLIED,NHEXL20-0010,"#270Y0S-20FM(RANGE09.5-11.1,B222,d20*42)",2,"מקדח ארוך מאוד,תעול ישר,קנה ישר+קרור",583.7
ALLIED,NHEXL20-0030,"#270Z0S-20FM(RANGE11.1-12.7,B222,d20*42)",3,"מקדח ארוך מאוד,תעול ישר,קנה ישר+קרור",600.71
ALLIED,NHRCA2S-0011,#2T-2SR.................................,2,"טבעת קרור,מסתובבת,קנה קוניMT=2",0
ALLIED,NHRCA3S-0011,#2T-3SR.................................,2,"טבעת קרור,מסתובבת,קנה קוניMT=3",104.6
ALLIED,NHRCA4S-0011,#2T-4SR.................................,1,"טבעת קרור,מסתובבת,קנה קוניMT=4",20.19
ALLIED,NDGH200-0020,#450H-0020       CPM-T15+AM200/PVD COAT.,8,"להב קידוח, דגם HSSCO,GEN2 T-A, מצופה",70
ALLIED,NDGH140-0010,#450H-14.0       CPM-T15+AM200/PVD COAT.,10,"להב קידוח, דגם HSSCO,GEN2 T-A, מצופה",86.53
ALLIED,NDGH150-0010,#450H-15.0       CPM-T15+AM200/PVD COAT.,16,"להב קידוח, דגם HSSCO,GEN2 T-A, מצופה",73.66
ALLIED,NDGH155-0010,#450H-15.5       CPM-T15+AM200/PVD COAT.,4,"להב קידוח, דגם HSSCO,GEN2 T-A, מצופה",66.14
ALLIED,NDGH160-0010,#450H-16.0       CPM-T15+AM200/PVD COAT.,14,"להב קידוח, דגם HSSCO,GEN2 T-A, מצופה",76.95
ALLIED,NDGH170-0015,#450H-17-HE      CPM-T15+AM200/PVD COAT.,3,"להב קידוח, דגם HSSCO,GEN2 T-A, מצופה",81.03
ALLIED,NDTH180-0030,#451A-18.0                 M48+TIALN/PVD,2,"להב קידוח, דגם HSSCO,GEN2 T-A מצופה",96.84
ALLIED,NDGH186-0010,#451H-.734       CPM-T15+AM200/PVD COAT.,8,"להב קידוח, דגם HSSCO,GEN2 T-A, מצופה",77.32
ALLIED,NDGH203-0010,#451H-.801(20.34)CPM-T15+AM200/PVD COAT.,10,"להב קידוח, דגם HSSCO,GEN2 T-A, מצופה",83.56
